TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
cd_medical_material,,Welke van onderstaand materiaal ontbreekt in de apotheek waar u titularis van bent zodat u zelf minder veilig kan werken?,"Lequel des matériaux suivants manque dans la pharmacie dont vous êtes titulaire, afin que vous puissiez travailler vous-même en toute sécurité?",,1: Niets ontbreekt MOMENTEEL|Rien ne manque actuellement   2: Ontsmettingsalcohol (voor eigen gebruik)|Désinfectant alcoolisé pour les mains (pour votre propre usage)  3: Alcogel (voor eigen gebruik)| Alcogel (pour votre propre usage)  4: Mondmaskers (voor eigen gebruik)|Masques buccaux (pour votre propre usage)  5: Handschoenen (voor eigen gebruik)| Gants (pour votre propre usage)  <other_value>: Andere:|Autre:,,,,cd_medical_material,,,,,
tx_quality_comments,,Opmerkingen,Remarques,,,,,,tx_quality_comments,,,,,
fl_help_needed,,Ik heb hulp nodig,J'ai besoin d'aide,,0: Geen hulp nodig|Aucune aide nécessaire  1: Hulp nodig|Besoin d'aide,,,,fl_help_needed,,,,,
tx_help_needed_comments,,Opmerkingen,Remarques,,,,,,tx_help_needed_comments,,,,,
fl_capacity_next_day,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van onze eerstvolgende openingsdag uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail le prochain jour d'ouverture.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_day,,,,,
tx_capacity_next_day_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_day_comments,,,,,
fl_capacity_next_week,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van de komende week uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de la semaine prochaine.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_week,,,,,
tx_capacity_next_week_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_week_comments,,,,,
tx_comments,,"Indien u nog andere zaken wil opgenomen zien in deze vragenlijst, kan u dat hieronder weergeven. U kan ook andere suggesties of booschappen achterlaten. Wij zullen deze mee verwerken in de analyse. Wij danken u hartelijk voor uw medewerking, en steken alle collega's een hart onder de riem!",Remarques,,,,,,tx_comments,,,,,
cd_niss,,"NO QUESTION, TECHNICAL FIELD: NISS CODE OF REGISTERING PERSON","NO QUESTION, TECHNICAL FIELD",,,,,,cd_niss,,"NO QUESTION, TECHNICAL FIELD",,,
tx_pharma_prof_circle,,Added to data flow based on postal code,Added to data flow based on postal code,,,,,,tx_pharma_prof_circle,,,,,
cd_scale_patients_corona,,Op 10 patiënten: hoeveel komen naar de apotheek naar aanleiding van corona?,Sur 10 patients: combien viennent à la pharmacie à cause de corona,,,,,,cd_scale_patients_corona,,,,,
cd_scale_patients_nonessential,,Op 10 patiënten: hoeveel bezoeken de apotheek voor niet-essentiële zaken?,Sur 10 patients: combien visitent la pharmacie pour les articles non essentiels,,,,,,cd_scale_patients_nonessential,,,,,
cd_scale_patients_aggression,,Op 10 patiënten: hoeveel vertonen verbale of fysieke agressie?,Sur 10 patients: combien montrent une agression verbale ou physique,,,,,,cd_scale_patients_aggression,,,,,
nr_num_hd_before,,Hoeveel thuisleveringen voerde u gemiddeld op één dag uit voor de coronaperiode?,Combien de livraisons à domicile effectuez-vous en moyenne par jour avant la période corona?,,,,,,nr_num_hd_before,,,,,
nr_num_hd_week,,Hoeveel thuisleveringen voerde u gemiddeld uit per dag in de afgelopen week?,Combien de livraisons à domicile avez-vous faites la dernière semaine?,,,,,,nr_num_hd_week,,,,,
cd_questions_day,,Hoeveel zelfzorgvragen krijgt u per dag? (één antwoord mogelijk),Combien de questions de soins personnels recevez-vous par jour? (une seule réponse possible),,1: Veel minder dan gewoonlijk /  Beaucoup moins que d'habitude  2: minder dan gewoonlijk / Moins que d'habitude  3: Zelfde als gewoonlijk / Comme d'habitude  4: Meer dan gewoonlijk / Plus que d'habitude  5: Veel Meer dan gewoonlijk / Beaucoup plus que d'habitude,,,,cd_questions_day,,,,,
cd_questions_drugs,,Hoeveel vraag naar voorschriftplichtige (chronische) medicatie krijgt u ondanks dat er geen artsbezoek heeft plaatsgevonden? (één antwoord mogelijk),Quelle est la demande de médicaments sur ordonnance (chronique) malgré le fait qu'aucune visite chez le médecin n'ait eu lieu? (une seule réponse possible),,1: Veel minder dan gewoonlijk /  Beaucoup moins que d'habitude  2: minder dan gewoonlijk / Moins que d'habitude  3: Zelfde als gewoonlijk / Comme d'habitude  4: Meer dan gewoonlijk / Plus que d'habitude  5: Veel Meer dan gewoonlijk / Beaucoup plus que d'habitude,,,,cd_questions_drugs,,,,,
fl_drugs_without,,"Moet het mogelijk gemaakt worden dat apothekers medicatie die als chronisch gemerkt staat in het medicatieschema van patiënten waar ze huisapotheker van zijn aan terugbetaald tarief kunnen afleveren, zonder artsbezoek?","Devrait-il être possible pour les pharmaciens de délivrer des médicaments à usage chronique renseignés dans le schéma de médication des patients dont ils sont des pharmaciens de référence au prix remboursé, sans visite chez le médecin ?",,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_drugs_without,,,,,
cd_prod_to_cp,,Welke onderstaande producten kan u afleveren aan zorgverleners (kan u bestellen of heeft u op voorraad)? (meerdere antwoorden mogelijk),Quels produits ci-dessous pouvez-vous délivrer aux prestataires de soins (pouvez-vous commander ou avez-vous en stock)? (plusieurs réponses possibles)_x000D_,,1: ontsmettingsalcohol (voor oppervlaktes) / alcool à friction (pour les surfaces)  2: alcogel (voor handen) / alcogel (pour les mains)  3: handschoenen / des gants  4: chirurgische mondmaskers / masques chirurgicaux  5: FFP2 maskers / masques FFP2  6: Klassieke thermometer / thermomètre classique  7: Voorhoofdthermometer /  thermomètre frontal  8: Beschermende schorten / tabliers de protection,,,,cd_prod_to_cp,,,,,
nr_num_cp_contacted_gp,,Hoeveel van onderstaande zorgverleners/zorginstanties contacteerde u zelf in de buurt om noodzakelijke zaken af te leveren? _x000D_  1:  Aantal huisartsen_x000D_,Combien de prestataires de soins / autorités sanitaires énumérés ci-dessous avez-vous contacté dans votre région pour livrer les articles nécessaires?_x000D_  1:  Nombre de médecins généralist,,,,,,nr_num_cp_contacted_gp,,,,,
nr_num_cp_contacted_hn,,2: Aantal thuisverpleegkundigen,2: Nombre d'infirmières à domicile,,,,,,nr_num_cp_contacted_hn,,,,,
nr_num_cp_contacted_mw,,3: Aantal vroedvrouwen,3: Nombre de sages-femmes,,,,,,nr_num_cp_contacted_mw,,,,,
nr_num_cp_contacted_tri,,4: Aantal triagecentra,4: Nombre de centres de triage,,,,,,nr_num_cp_contacted_tri,,,,,
nr_num_cp_contacted_wz,,5: Aantal woonzorgcentra,5: Nombre de centres d'accueil,,,,,,nr_num_cp_contacted_wz,,,,,
nr_num_cp_contacted_den,,6: Aantal tandartsen,6: Nombre de dentistes,,,,,,nr_num_cp_contacted_den,,,,,
tx_cp_contacted_oth,,7: Andere:,7: Autre:,,,,,,tx_cp_contacted_oth,,,,,
nr_num_cp_buy_gp,,Hoeveel van de gecontacteerde zorgverleners wensten effectief iets bij u aan te kopen? (geen = 0)_x000D_  1:  Aantal huisartsen,Combien de professionnels de la santé contactés voulaient réellement vous acheter quelque chose? (aucun = 0)_x000D_  1:  Nombre de médecins généralistes,,,,,,nr_num_cp_buy_gp,,,,,
nr_num_cp_buy_hn,,2: Aantal thuisverpleegkundigen,2: Nombre d'infirmières à domicile,,,,,,nr_num_cp_buy_hn,,,,,
nr_num_cp_buy_mw,,3: Aantal vroedvrouwen,3: Nombre de sages-femmes,,,,,,nr_num_cp_buy_mw,,,,,
nr_num_cp_buy_tri,,4: Aantal triagecentra,4: Nombre de centres de triage,,,,,,nr_num_cp_buy_tri,,,,,
nr_num_cp_buy_wz,,5: Aantal woonzorgcentra,5: Nombre de centres d'accueil,,,,,,nr_num_cp_buy_wz,,,,,
nr_num_cp_buy_den,,6: Aantal tandartsen,6: Nombre de dentistes,,,,,,nr_num_cp_buy_den,,,,,
tx_cp_buy_oth,,7: Andere:,7: Autre:,,,,,,tx_cp_buy_oth,,,,,
cd_prod_to_patients,,"Welke onderstaande producten kan u afleveren aan ambulante patiënten (kan u bestellen of heeft u op voorraad, of dat u dit werkelijk doet – staat hier los van)?",Quels produits ci-dessous pouvez-vous livrer aux patients ambulatoires (pouvez-vous commander ou avez-vous en stock)?_x000D_  _x000D_  _x000D_  _x000D_  _x000D_  _x000D_,,1: Ontsmettingsalcohol (voor oppervlaktes) - alcool à friction (pour les surfaces)  2: Alcogel (voor handen) - alcogel (pour les mains)  3: Handschoenen - des gants  4: Chirurgische mondmaskers - masques chirurgicaux  5: FFP2 maskers - Masques FFP2  6: Klassieke thermometer - Thermomètre classique  7: Voorhoofdthermometer - Thermomètre frontal  8; Beschermende schorten - Tabliers de protection,,,,cd_prod_to_patients,,,,,
nr_num_patients_oxy,,Voor hoeveel ambulante patiënten kwam de afgelopen week de vraag naar zuurstof?,Pour combien de patients ambulatoires avez-vous reçu une demande d'oxygène au cours de la dernière semaine ?,,,,,,nr_num_patients_oxy,,,,,
nr_num_patients_oxy_no,,Bij hoeveel ambulante patiënten heeft u de afgelopen week niet kunnen voldoen aan de vraag naar zuurstof?,A combien de patients ambulatoires avez-vous été incapable de répondre à la demande d'oxygène au cours de la semaine dernière?,,,,,,nr_num_patients_oxy_no,,,,,
nr_num_patients_pp,,Voor hoeveel ambulante patiënten kwam de afgelopen week de vraag naar een pijnpomp?,Combien de patients ambulatoires ont reçu une demande de pompe à douleur au cours de la dernière semaine?,,,,,,nr_num_patients_pp,,,,,
nr_num_patients_pp_no,,Bij hoeveel ambulante patiënten heeft u de afgelopen week niet kunnen voldoen aan de vraag naar een pijnpomp?,"Au cours de la semaine dernière, pour combien de patients ambulatoires avez-vous pas pu répondre à la demande d'une pompe à douleur?",,,,,,nr_num_patients_pp_no,,,,,
tx_drugs_oos,,Welke essentiële medicatie kon u afgelopen week niet afleveren door stockbreuken of onbeschikbaarheden?,Quels médicaments essentiels vous n'avez pas pu livrer la semaine dernière en raison de ruptures de stock ou d'une indisponibilité.,,,,,,tx_drugs_oos,,,,,
fl_covid19_distri,,"Bent u bereid de verdeling van testkits voor COVID-19 op te nemen, MITS valabele vergoeding voor de registratie op naam.?","Êtes-vous prêt à inclure la distribution de kits de test pour COVID-19, Pour autant que ce soit associé à un honoraire de prise en charge?",,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_covid19_distri,,,,,
nr_num_compensation,,Wat vindt u een valabele vergoeding voor deze dienst?,Que pensez-vous est une rémuneration valable pour ce service ?,,,,,,nr_num_compensation,,,,,
nr_num_quest_mask19,,Hoeveel ‘Masker 19’ vragen verkreeg u de afgelopen week in de apotheek?,Combien de sollicitations avez-vous reçues dans le cadre de services d’aide aux victimes de violence domestiques/conjugales (“Masque 19”)?,,,,,,nr_num_quest_mask19,,,,,
cd_quest_schema,,Hoeveel vraag naar medicatieschema’s krijgt u? (één antwoord mogelijk),Quelle est la demande des schémas de médicaments? (une seule réponse possible),,1: Veel minder dan gewoonlijk /  Beaucoup moins que d'habitude  2: Minder dan gewoonlijk / Moins que d'habitude  3: Zelfde als gewoonlijk / Comme d'habitude  4: Meer dan gewoonlijk / Plus que d'habitude  5: Veel Meer dan gewoonlijk / Beaucoup plus que d'habitude,,,,cd_quest_schema,,,,,
nr_num_patients_phone_today,,Hoeveel patiënten informeerde de apotheek vandaag via de telefoon? (schatting),Combien de patients la pharmacie a-t-elle informés par téléphone aujourd'hui? (estimation),,,,,,nr_num_patients_phone_today,,,,,
nr_num_employees_covid19_pos,,Hoeveel personeelsleden van de apotheek waar u titularis van bent testten positief op corona?,Combien d'employés de la pharmacie (dont vous êtes titulaire) ont été testés positifs pour le coronavirus?,,,,,,nr_num_employees_covid19_pos,,,,,
nr_num_employees_quar,,"Hoeveel personeelsleden van de apotheek waar u titularis van bent, zijn in zelfquarantaine (dus hebben symptomen zonder positieve test)?",Combien d'employés de la pharmacie (dont vous êtes titulaire) se sont mis d'eux-même en quarantaine (symptômes présents sans test positif)?,,,,,,nr_num_employees_quar,,,,,
nr_num_employees_covid19_contact,,"Hoeveel personeelsleden van de apotheek waar u titularis van bent, werken verder volgens de regels van de overheid (dus met mondmasker) na een nauw contact met een positief corona geval (bvb door een collega of familielid)?",Combien d'employés de la pharmacie (dont vous êtes titulaire) continuent de travailler selon les règles du gouvernement (c'est-à-dire avec un masque) après un contact étroit avec un cas corona positif (par exemple par un collègue ou un membre de la famille)?,,,,,,nr_num_employees_covid19_contact,,,,,
fl_pharmacy_covid19_closed,,"De apotheek waar u titularis van bent, is momenteel gesloten door een coronabesmetting",La pharmacie où je travaille est actuellement fermée en raison d'une infection corona,,0:Neen|Non  1:Ja|Oui,,,,fl_pharmacy_covid19_closed,,,,,
cd_pharmacy_measures,,Welke maatregelen neemt de apotheek waar u werkt?,Quelles mesures la pharmacie prend-elle actuellement?,,"1: Affiche voor de patiënten met informatie|Affiche pour les patients avec des informations  2: We laten de patiënten enkel met bancontact betalen / moedigen dit aan|Nous ne laissons payer que avec bancontact ou nous encourageons cela  3: We hebben een plexiglas geplaatst|Nous avons placé un plexiglas  4: We beperken het aantal patiënten in de apotheek (vb 1 per 1 binnenkomen, max 1 per afleverstation...)|Nous limitons le nombre de patients en pharmacie (ex: 1 pour 1 entrée, max 1 par poste de livraison ...)  5: We voorzien een dispenser met hydro-alcoholische gel in de publieke ruimte voor patiënten|Nous fournissons un distributeur de solution hydro-alcoolique ou de gel dans l'espace public de la pharmacie pour les patients  6: We bedienen enkel via het wachtluik|Nous opérons uniquement via la trappe d'attente  7: We onstmetten risicovolle oppervlaktes na elk patiëntcontact, of op regelmatige basis (max 2 u tussen)|Nous désinfectons les surfaces à risque après chaque contact avec le patient, ou régulièrement (max. 2 heures entre)  8: We werken met mondmaskers|Nous travaillons avec des masques buccaux  9: We werken met handschoenen|Nous travaillons avec des gants  10: We dragen beschermende kledij en reinigen deze dagelijks/elke twee dagen op 60°C|Nous portons des vêtements de protection et le nettoyons quotidiennement/tous les 2 jours à 60 ° C  11: We reinigen dagelijks de apotheek met water dat 1% bleekwater bevat|Nous nettoyons la pharmacie quotidiennement avec de l'eau contenant 1% d'eau de Javel  12: We voorzien een fysieke barrière voor patiënten / tekenen lijnen op de vloer zodat ze afstand bewaren|Nous fournissons une barrière physique pour les patients / tracer des lignes sur le sol afin qu'ils gardent une distance  13: Patiënten mogen zelf niets meer uit de rekken nemen|Les patients ne sont pas autorisés à sortir quoi que ce soit des étagères  14: De personeelsleden ontsmetten of wassen zeer regelmatig de handen|Le personnel désinfecte ou se lave les mains régulièrement  <other_value>: Andere:|Autre:",,,,cd_pharmacy_measures,,,,,
cd_pharmacy_patient_warranty,,Op welke manier garandeert de apotheek waar u werkt de zorg voor de patiënten,Comment la pharmacie garantit-elle les soins aux patients?,,"1: Thuisleveringen zijn mogelijk na telefonisch contact|Les livraisons à domicile sont possibles après contact téléphonique  2: Zieke patiënten laten we bellen en we zoeken naar een oplossing om medicatie te leveren|Nous demandons des patients malades de nous appeler et nous recherchons une solution pour délivrer des médicaments  3: Het personeel werkt in strikt gescheiden shiften zodat bij uitval, steeds het andere team kan opvangen|Le personnel travaille en équipes strictement séparées de sorte qu'en cas de panne, l'autre équipe puisse toujours accueillir  <other_value>: Andere:|Autre:",,,,cd_pharmacy_patient_warranty,,,,,
cd_scale_feel_mental,,"Op een schaal van 10, hoe voelt u zich mentaal?","Sur une échelle de 1 à 10, comment vous sentez-vous mentalement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_mental,,,,,
cd_scale_feel_anxious,,"Op een schaal van 10, in welke mate voelt u zich angstig over de huidige corona-situatie?","Sur une échelle de 1 à 10, dans quelle mesure vous sentez-vous inquiet de la situation corona actuelle?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_anxious,,,,,
cd_scale_feel_physically,,"Op een schaal van 10, hoe voelt u zich fysiek?","Sur une échelle de 1 à 10, comment vous sentez-vous physiquement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_physically,,,,,
cd_scale_feel_supported_gov,,"Op een schaal van 10, in welke mate voelt u zich gesteund door de overheid?","Sur une échelle de 1 à 10, dans quelle mesure vous sentez-vous soutenu par le gouvernement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_supported_gov,,,,,
cd_scale_feel_supported_assoc,,"Op een schaal van 10, in welke mate voelt u zich gesteund door uw beroepsvereniging?","Sur une échelle de 1 à 10, dans quelle mesure vous sentez-vous soutenu par votre association professionnelle?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_supported_assoc,,,,,
