TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
nr_num_infection_screen,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... bril(len)/scherm(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires pour combler les 30 prochains jours:  ..... lunettes(s) / écran(s) adéquats contre les infections,,,,,,nr_num_infection_screen,,,,,
cd_niss,,"NO QUESTION, TECHNICAL FIELD: NISS CODE OF REGISTERING PERSON","NO QUESTION, TECHNICAL FIELD",,,,,,cd_niss,,"NO QUESTION, TECHNICAL FIELD",,,
tx_cra_prof_circle,,Added to data flow based on postal code,Added to data flow based on postal code,,,,,,tx_cra_prof_circle,,,,,
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
fl_sex,,Geslacht,Sexe,,1: Man|Homme  2: Vrouw|Femme,,,,fl_sex,,,,,
cd_cra_type,,Type instantie,Type d'instance,,,,,,cd_cra_type,,,,,
tx_cra_name,,Naam van zorgcentrum,Nom du centre de soins,,1: Woonzorgcentra|Maison de repos et de soins  <other_value>: Andere:|Autre:,,,,tx_cra_name,,,,,
tx_cra_postal_code,,Postcode van de gemeente waarin het zorgcentrum zich bevindt,Code postal de la commune dans laquelle se situe le centre de soins,,,,,,tx_cra_postal_code,,,,,
nr_num_cra_providers,,Aantal zorgverleners?,Nombre de soignants?,,,,,,nr_num_cra_providers,,,,,
nr_num_cra_beds_available,,Aantal bedden beschikbaar?,Nombre de lits disponibles?,,,,,,nr_num_cra_beds_available,,,,,
fl_critical_tasks_completed,,Mijn kritische taken voor de dag werden uitgevoerd.,Mes tâches essentielles de la journée ont été réalisées.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_critical_tasks_completed,,,,,
tx_critical_tasks_comments,,Opmerkingen,Remarques,,,,,,tx_critical_tasks_comments,,,,,
fl_quality_standard,,Uitvoering gebeurt volgens de verwachte standaard,Je peux exécuter mes tâches selon la norme attendue.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_quality_standard,,,,,
tx_quality_comments,,Opmerkingen,Remarques,,,,,,tx_quality_comments,,,,,
fl_help_needed,,Ik heb hulp nodig,J'ai besoin d'aide.,,0: Geen hulp nodig|Aucune aide nécessaire  1: Hulp nodig|Besoin d'aide,,,,fl_help_needed,,,,,
tx_help_needed_comments,,Opmerkingen,Remarques,,,,,,tx_help_needed_comments,,,,,
fl_capacity_next_day,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van morgen uit te voeren,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de demain.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_day,,,,,
tx_capacity_next_day_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_day_comments,,,,,
fl_capacity_next_week,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van de komende week uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de la semaine prochaine,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_week,,,,,
tx_capacity_next_week_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_week_comments,,,,,
fl_cra_residents_covid,,Zijn er reeds bewoners klinisch verdacht of bewezen met corona in uw rust- en verzorgingstehuis (RVT)?,Y a-t-il des résidents avec une infection COVID-19 (éprouvés ou suspectés cliniquement) au sein de votre établissement?,,0: Neen|Non  1: Ja|Oui,,,,fl_cra_residents_covid,,,,,
nr_num_residents_proven,,Hoeveel bewezen en klinisch verdachte bewoners samen?,Combien de résidents COVID-19 éprouvés ou suspectés cliniquement?,,,,,,nr_num_residents_proven,,,,,
cd_extra_load,,Hoe groot is de extra belasting voor u als CRA op dit moment?,Quelle est la charge supplémentaire pour vous (CRA) en ce moment?,,1: Verlaagd|Diminuée  2: Normaal|Normale  3: Verhoogd|Augmentée  4: Sterk verhoogd|Fortement augmentée  5: Onhoudbaar hoog|Intensément élevée,,,,cd_extra_load,,,,,
cd_alc_hand_disinfectant,,Alcoholische handontsmetting,Désinfectant alcoolisé pour les mains,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_alc_hand_disinfectant,,,,,
