TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
cd_scale_feel_supported_assoc,,"Op een schaal van 10, in welke mate voelt u zich gesteund door uw beroepsvereniging?","Sur une échelle de 1 à 10, dans quelle mesure vous sentez-vous soutenu par votre association professionnelle?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_supported_assoc,,,,,
tx_measures_support,,Welke maatregelen zouden steun bieden aan de vroedvrouw of de praktijk in deze periode?,Quelles mesures soutiendraient les sages-femmes ou les cabinets pendant cette période?,,,,,,tx_measures_support,,,,,
fl_critical_tasks_completed,,Het is duidelijk wat vandaag van mij verwacht werd en mijn kritische taken voor vandaag zijn uitgevoerd.,Ce que l'on attend de moi aujourd'hui est clair et mes tâches essentielles d'aujourd'hui sont exécutées,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_critical_tasks_completed,,,,,
tx_critical_tasks_comments,,Opmerkingen,Remarques,,,,,,tx_critical_tasks_comments,,,,,
fl_quality_standard,,"Het is duidelijk aan welke kwaliteit mijn taken moeten voldoen (richtlijnen, hygiene etc.) en vandaag gebeurde dit volgens de verwachte standaard",Ce que l'on attend de moi aujourd'hui est clair et je peux remplir ces tâches.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_quality_standard,,,,,
cd_medical_material,,Welke van onderstaand materiaal ontbreekt in de apotheek waar u titularis van bent zodat u zelf minder veilig kan werken?,"Lequel des matériaux suivants manque dans la pharmacie dont vous êtes titulaire, afin que vous puissiez travailler vous-même en toute sécurité?",,1: Niets ontbreekt MOMENTEEL|Rien ne manque actuellement  2: Ontsmettingsalcohol (voor eigen gebruik)|Désinfectant alcoolisé pour les mains (pour votre propre usage)  3: Alcogel (voor eigen gebruik)| Alcogel (pour votre propre usage)  4: Mondmaskers (voor eigen gebruik)|Masques buccaux (pour votre propre usage)  5: Handschoenen (voor eigen gebruik)| Gants (pour votre propre usage)  <other_value>: Andere:|Autre:,,,,cd_medical_material,,,,,
tx_quality_comments,,Opmerkingen,Remarques,,,,,,tx_quality_comments,,,,,
fl_help_needed,,Ik heb hulp nodig,J'ai besoin d'aide,,0: Geen hulp nodig|Aucune aide nécessaire  1: Hulp nodig|Besoin d'aide,,,,fl_help_needed,,,,,
tx_help_needed_comments,,Opmerkingen,Remarques,,,,,,tx_help_needed_comments,,,,,
fl_capacity_next_day,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van onze eerstvolgende openingsdag uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail du prochain jour d'ouverture,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_day,,,,,
tx_capacity_next_day_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_day_comments,,,,,
fl_capacity_next_week,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van de komende week uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de la semaine prochaine.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_week,,,,,
tx_capacity_next_week_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_week_comments,,,,,
tx_comments,,"Indien u nog andere zaken wil opgenomen zien in deze vragenlijst, kan u dat hieronder weergeven. U kan ook andere suggesties of booschappen achterlaten. Wij zullen deze mee verwerken in de analyse. Wij danken u hartelijk voor uw medewerking, en steken alle collega's een hart onder de riem!",Remarques,,,,,,tx_comments,,,,,
cd_alc_hand_disinfectant,,Alcoholische handontsmetting,Désinfectant alcoolisé pour les mains,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_alc_hand_disinfectant,,,,,
cd_surgical_masks,,Gewone chirurgische maskers,Masques chirurgicaux ordinaires,,1: Groot tekort (max 2 maskers per vroedvrouw)|Grande pénurie  2: Klein tekort (3-7 maskers per vroedvrouw)|Petite pénurie  3: Klein overschot  (8-14 maskers per vroedvrouw)|Petit surplus   4: Groot overshot (>14 maskers per vroedvrouw)|Grand surplus,,,,cd_surgical_masks,,,,,
cd_infection_masks,,Maskers geschikt te gebruiken bij infecties (FFP2 en co),Masques adaptés aux infections (FFP2 et co),,1: Groot tekort (max 2 maskers per vroedvrouw)|Grande pénurie  2: Klein tekort (3-7 maskers per vroedvrouw)|Petite pénurie  3: Klein overschot  (8-14 maskers per vroedvrouw)|Petit surplus   4: Groot overshot (>14 maskers per vroedvrouw)|Grand surplus,,,,cd_infection_masks,,,,,
cd_infection_gloves,,Handschoenen geschikt te gebruiken bij infecties,Gants adaptés aux infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_gloves,,,,,
cd_infection_aprons,,Schorten geschikt te gebruiken bij infecties,Tabliers adaptés aux infections,,1: Groot tekort (max 2 schorten per vroedvrouw)|Grande pénurie  2: Klein tekort (3-7 schorten per vroedvrouw)|Petite pénurie  3: Klein overschot  (8-14 schorten per vroedvrouw)|Petit surplus   4: Groot overshot (>14 schorten per vroedvrouw)|Grand surplus,,,,cd_infection_aprons,,,,,
cd_infection_screen,,Bril/scherm geschikt te gebruiken bij infecties,Lunettes / écrans adéquats contre les infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_screen,,,,,
nr_num_surgical_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... gewone chirurgische maskers,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... masques chirurgicaux ordinaires,,,,,,nr_num_surgical_masks,,,,,
nr_num_alc_hand_disinfectant,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... flacon(s) alcoholische handontsmetting (500ml),Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... flacon(s) désinfectant alcoolisé pour les mains (500 ml),,,,,,nr_num_alc_hand_disinfectant,,,,,
nr_num_infection_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... masker(s) geschikt te gebruiken bij infecties (FFP2 en co),Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... masque(s) adapté(s) aux infections (FFP2 et co),,,,,,nr_num_infection_masks,,,,,
nr_num_infection_gloves,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:        ..... verpakking(en) van 100 handschoenen geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... emballage(s) de 100 gants adaptés aux infections,,,,,,nr_num_infection_gloves,,,,,
nr_num_infection_aprons,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... schort(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  .....  tablier(s) adaptés aux infections,,,,,,nr_num_infection_aprons,,,,,
nr_num_infection_screen,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... bril(len)/scherm(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... lunettes(s) / écran(s) adéquats contre les infections,,,,,,nr_num_infection_screen,,,,,
cd_niss,,"NO QUESTION, TECHNICAL FIELD: NISS CODE OF REGISTERING PERSON","NO QUESTION, TECHNICAL FIELD",,,,,,cd_niss,,"NO QUESTION, TECHNICAL FIELD",,,
tx_mid_prof_circle,,Added to data flow based on postal code,Added to data flow based on postal code,,,,,,tx_mid_prof_circle,,,,,
nr_num_clients_phone_yesterday,,Hoeveel cliënten informeerde u of de praktijk gisteren telefonisch?,Combien de clients avez-vous informé par téléphone au cours de la journée d'hier?,,,,,,nr_num_clients_phone_yesterday,,Put out of prod on 30/03/2020,,,
nr_num_clients_today,,Hoeveel cliënten begeleidde u of de praktijk vandaag (enkel face-to-face)?,Combien de clients avez-vous accompagné en face-à-face au cours de la journée d'aujourd'hui?,,,,,,nr_num_clients_today,,,,,
nr_num_clients_phone_today,,Hoeveel cliënten informeerde u of de praktijk vandaag telefonisch?,Combien de clients avez-vous informé par téléphone au cours de la journée d'aujourd'hui?,,,,,,nr_num_clients_phone_today,,,,,
nr_num_clients_covid19_pos,,Hoeveel cliënten zijn er vandaag in zorg die positief hebben getest op COVID-19?,Combien de clients qui ont été testés positifs pour Covid-19 sont pris en charge aujourd'hui?,,,,,,nr_num_clients_covid19_pos,,In production since 11/05/2020,,,
nr_num_clients_covid19_pot,,Hoeveel cliënten zijn vandaag potentieel besmet met COVID-19 (patiënten met symptomen)?,Combien de clients sont potentiellement infectés par COVID-19 (patients présentant des symptômes) aujourd'hui?,,,,,,nr_num_clients_covid19_pot,,In production since 11/05/2020,,,
nr_num_team_members_positive,,Hoeveel teamleden testten positief op corona?,Combien de membres de l'équipe ont été testés positifs pour le coronavirus?,,,,,,nr_num_team_members_positive,,,,,
nr_num_team_members_quarantined,,Hoeveel teamleden zijn in zelfquarantaine (dus hebben symptomen zonder positieve test)?,Combien de membres de l'équipe se sont mis d'eux-même en quarantaine (ont donc des symptômes sans test positif)?,,,,,,nr_num_team_members_quarantined,,,,,
nr_num_team_members_working,,Hoeveel teamleden werken verder volgens de regels van de overheid (dus met mondmasker) na een nauw contact met een positief corona geval (bvb door een collega of familielid)?,Combien de membres de l'équipe continuent de travailler selon les règles du gouvernement (donc avec un masque buccal) après un contact étroit avec un cas corona positif (par exemple un collègue ou un membre de la famille)?,,,,,,nr_num_team_members_working,,,,,
cd_practice_closed,,De praktijk is momenteel gesloten door een coronabesmetting / Ik werk zelf niet meer door een coronabesmetting,Le cabinet est actuellement fermé en raison d'une infection corona / Je ne travaille plus moi-même en raison d'une infection corona,,1:Ja|Oui  2:Neen|Non_x000D_,,,,cd_practice_closed,,,,,
cd_measures,,Welke maatregelen neemt de praktijk / neemt u als zelfstandige,Quelles sont les mesures prises par le cabinet / par vous-même?,,1: Affiche/communicatie voor de patiënten met informatie|Affiche / communication pour les patients avec information  2: We onstmetten risicovol materiaal na elk patiëntcontact|Nous décontaminons les matières à risque après chaque contact avec le patient  3: We werken met mondmaskers|Nous travaillons avec des masques buccaux  4: We werken met handschoenen|Nous travaillons avec des gants  5: We dragen beschermende kledij en reinigen deze dagelijks/elke twee dagen op 60°C|Nous portons des vêtements de protection et le nettoyons quotidiennement / tous les deux jours à 60 ° C  6: Alle teamleden onstmetten of wassen zeer regelmatig de handen|Tous les membres de l'équipe se désinfectent ou se lavent les mains très régulièrement  <other_value>: Andere:|Autre:,,,,cd_measures,,,,,
cd_scale_contacts,,"Op een schaal van 10, welk deel van contacten zijn specifiek omwille van coronaproblematiek (informatievraag, koortswering, besmetting jonge kinderen)?","Sur une échelle de 1 à 10, quelle proportion des contacts est devenue particulière/problématique en raison de problèmes corona (demande d'information, fièvre antipyrétique, infection de jeunes enfants)?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_contacts,,,,,
cd_scale_feel_mental,,"Op een schaal van 10, hoe voelt u zich mentaal?","Sur une échelle de 1 à 10, comment vous sentez-vous mentalement?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_mental,,,,,
cd_scale_feel_anxious,,"Op een schaal van 10, in welke mate voelt u zich angstig over de huidige corona-situatie?","Sur une échelle de 1 à 10, dans quelle mesure vous sentez-vous inquiet de la situation corona actuelle?",,0: 0  1: 1  2: 2  3: 3  4: 4  5: 5  6: 6  7: 7  8: 8  9: 9  10: 10,,,,cd_scale_feel_anxious,,,,,
